cod_munic;munic;ano;mes;pop
3300209;Araruama;2007;2;101048
3300225;Areal;2007;2;10878
3300233;Armação dos Búzios;2007;2;23930
3300258;Arraial do Cabo;2007;2;26340
3300308;Barra do Piraí;2007;2;92587
3300407;Barra Mansa;2007;2;175369
3300456;Belford Roxo;2007;2;457126
3300506;Bom Jardim;2007;2;24384
3300605;Bom Jesus do Itabapoana;2007;2;34801
3300704;Cabo Frio;2007;2;163387
3300803;Cachoeiras de Macacu;2007;2;52245
3300902;Cambuci;2007;2;14773
3301009;Campos dos Goytacazes;2007;2;443526
3301108;Cantagalo;2007;2;19832
3300936;Carapebus;2007;2;11529
3301157;Cardoso Moreira;2007;2;12598
3301207;Carmo;2007;2;16670
3301306;Casimiro de Abreu;2007;2;30149
3300951;Comendador Levy Gasparian;2007;2;8092
3301405;Conceição de Macabu;2007;2;20348
3301504;Cordeiro;2007;2;19786
3301603;Duas Barras;2007;2;10723
3301702;Duque de Caxias;2007;2;826996
3301801;Engenheiro Paulo de Frontin;2007;2;12860
3301850;Guapimirim;2007;2;46401
3301876;Iguaba Grande;2007;2;19839
3301900;Itaboraí;2007;2;207068
3302007;Itaguaí;2007;2;98976
3302056;Italva;2007;2;13553
3302106;Itaocara;2007;2;22934
3302205;Itaperuna;2007;2;92624
3302254;Itatiaia;2007;2;27334
3302270;Japeri;2007;2;91134
3302304;Laje do Muriaé;2007;2;7629
3302403;Macaé;2007;2;177658
3302452;Macuco;2007;2;5135
3302502;Magé;2007;2;219743
3302601;Mangaratiba;2007;2;32017
3302700;Maricá;2007;2;107247
3302809;Mendes;2007;2;17712
3302858;Mesquita;2007;2;168261
3302908;Miguel Pereira;2007;2;24387
3303005;Miracema;2007;2;26918
3303104;Natividade;2007;2;15097
3303203;Nilópolis;2007;2;156147
3303302;Niterói;2007;2;477774
3303401;Nova Friburgo;2007;2;179075
3303500;Nova Iguaçu;2007;2;785397
3303609;Paracambi;2007;2;44740
3303708;Paraíba do Sul;2007;2;39791
3303807;Paraty;2007;2;34591
3303856;Paty do Alferes;2007;2;25862
3303906;Petrópolis;2007;2;292679
3303955;Pinheiral;2007;2;21558
3304003;Piraí;2007;2;24800
3304102;Porciúncula;2007;2;17121
